280,21.1,795904
250,10.5,462983
340,11.5,674773
550,10.7,1.09134e+06
265,11.5,487186
231,9.1,368094
186,19,439128
460,11.1,912436
160,26.3,475865
460,11.6,952132
175,13,337134
400,13.2,855268
250,38.8,848738
595,9.8,1.26112e+06
130,19.4,293534
460,15.7,1.07693e+06
490,12.3,1.09719e+06
220,23.9,732434
197,13.9,409400
130,22.7,321896
347,9.4,650678
520,15.4,1.3377e+06
325,10.6,581685
190,16.8,398453
250,11.5,449737
115,21.3,268004
160,16,344806
280,18.9,678790
220,20.4,527709
100,29.8,288334
145,21.6,302390
205,26.3,540943
490,9.5,908819
400,12,844454
580,25.8,1.72966e+06
400,6.8,635662
535,15.5,1.19291e+06
280,10,473656
205,17.7,474496
730,7.5,1.24238e+06
205,14.5,392474
291,12.5,578745
190,15.9,403908
280,40.4,972933
400,12.4,807592
430,16.5,1.00827e+06
145,14.7,281341
445,9.5,837121
287,7.3,419434
175,20.4,441534
220,35,767780
175,25.9,530040
340,9.3,577513
167,29.9,471564
220,19.9,564436
130,29.2,401872
223,20,580798
655,14.3,1.58978e+06
201,24.2,556310
550,17,1.38277e+06
715,6.2,1.20788e+06
190,18.6,478912
505,12.3,1.11392e+06
160,17.6,355948
190,32.7,610744
430,11.2,900698
272,9.1,457971
475,11.7,959973
910,14.5,2.13624e+06
325,11.6,637313
280,10.1,516258
640,10.5,1.31118e+06
340,8.1,542191
370,8.5,640694
280,10.8,532468
130,24.4,347868
340,16.1,829572
128,21.2,314321
400,9.9,718555
310,7.3,490502
925,16.9,2.28323e+06
122,24.7,346646
655,12.8,1.48279e+06
655,6.8,1.06736e+06
160,32.9,482351
190,21.4,529486
310,15,725592
565,8.7,1.01833e+06
160,15.3,323826
283,10.7,529382
280,30,859156
340,18.2,785918
250,14.4,533836
212,20,542299
250,10,429428
310,15.9,744830
160,30.5,516726
250,15.8,518554
167,13.3,306119
790,5.6,1.23827e+06
