73,6.9,159357
71,6.3,133232
160,3.9,330498
75,6.6,173314
475,2.1,829589
85,5.2,153057
92,5,170555
71,7.4,170817
58,9,143752
54,9.4,130110
96,5.2,191966
75,6.8,166385
72,7.3,172482
40,16.2,144889
130,4.4,279843
85,5.3,154890
85,5.2,152613
276,2.7,512684
81,5.1,140929
92,5.2,192808
175,3.4,335033
152,3.9,301513
70,7.1,159621
81,5.7,160992
49,13.1,184485
160,3.8,328410
40,17.4,141219
212,2.8,370037
81,5.2,139068
460,2.1,822248
55,10.2,152941
130,4,243019
113,4.8,238842
235,2.1,340882
70,7.1,161930
130,3.4,216628
64,8.2,161380
66,7.8,159554
152,3.4,274152
70,11.1,298015
81,5.8,165760
77,6.4,161793
57,9.1,136689
62,8.6,165883
175,3.3,309834
154,3.1,249109
58,8.7,135590
145,3.8,270383
66,8,159822
64,8.7,161672
61,8.7,155595
94,4.9,178260
130,3.3,200173
55,9.8,132096
46,13.3,137250
156,3.1,263055
190,3.1,352706
107,4.4,189300
81,7.3,236570
90,4.5,159400
70,6.7,153899
55,11.4,166091
40,17.1,146618
92,5.3,194469
55,10.2,148061
62,7.5,141042
81,5.8,160196
160,3.8,328236
88,5,160254
103,4.3,184774
67,7.3,150426
81,6.1,183924
58,8.1,129323
212,2.8,373693
81,5.3,141060
160,3.6,318038
70,6.7,154410
62,8.1,146380
47,11.6,127690
47,12.5,135614
156,3.7,304735
92,4.5,153807
85,5.3,162536
85,5.1,154478
55,9.4,129366
160,3.8,340920
55,8.6,116431
41,15.2,128675
100,4.1,165668
55,9.9,133812
77,6,154748
68,7,157376
70,7.4,164502
58,9.2,150093
55,10.6,146596
88,5.9,198548
100,4.9,216812
85,5.9,181721
246,2.9,454995
77,6.3,160142
